8;shelter;приютить;прятаться;укрываться;;https://youtu.be/1jRRKtJxlTc
9;sword;меч;шпага;;;https://youtu.be/1jRRKtJxlTc
10;overheard;подслушивать;;;;https://youtu.be/1jRRKtJxlTc
11;pal;приятель;;;;https://youtu.be/1jRRKtJxlTc
12;borrow;занимать;;;;https://youtu.be/1jRRKtJxlTc
13;stuck;застрял;застрявший;;;https://youtu.be/1jRRKtJxlTc
14;cease;прекращать;переставать;;;https://youtu.be/1jRRKtJxlTc
15;sad ;грустный;печальный;;;https://youtu.be/1jRRKtJxlTc
16;wrong;неправильный;ошибочный;;;https://youtu.be/1jRRKtJxlTc
17;guess;полагать;думать;догадываться;;https://youtu.be/1jRRKtJxlTc
